time,size,volume,Candle1Size,Candle2Size,Candle3Size,Candle4Size,breakout_type,support_level,resistance_level
2023-05-11 14:00:00+00:00,3.4950000000001182,7012,15.125,9.599999999999909,2.4700000000000273,2.9300000000000637,support,2022.54,2045.635
2023-05-12 01:30:00+00:00,0.4900000000000091,3052,4.225000000000136,0.9149999999999636,0.36000000000012733,0.2999999999999545,support,2012.88,2045.635
2023-05-12 03:00:00+00:00,0.17499999999995453,1354,1.0,0.2199999999997999,0.4900000000000091,4.225000000000136,support,2011.57,2045.635
2023-05-12 06:00:00+00:00,0.7699999999999818,2953,2.4849999999999,0.16499999999996362,0.4900000000000091,0.26499999999987267,support,2010.855,2045.635
2023-05-12 08:30:00+00:00,1.3400000000001455,2257,0.7800000000002001,3.214999999999918,1.9949999999998909,1.1449999999999818,support,2008.865,2045.635
2023-05-12 10:00:00+00:00,1.6099999999999,1568,3.740000000000009,0.09000000000014552,1.3400000000001455,0.7800000000002001,support,2006.665,2045.635
2023-05-16 15:00:00+00:00,1.9300000000000637,4437,2.8500000000001364,1.5750000000000455,0.5450000000000728,3.7949999999998454,support,2003.58,2020.88
2023-05-16 18:00:00+00:00,3.3099999999999454,677,2.6800000000000637,1.875,6.349999999999909,1.9549999999999272,support,1987.645,2020.88
2023-05-17 09:00:00+00:00,0.6150000000000091,2399,1.1800000000000637,0.24500000000011823,2.2650000000001,1.134999999999991,support,1986.885,2020.88
2023-05-17 13:30:00+00:00,6.129999999999882,4257,1.009999999999991,0.3400000000001455,2.2799999999999727,0.25500000000010914,support,1984.05,2020.88
2023-05-18 07:00:00+00:00,0.7700000000002092,2926,3.9849999999999,3.0650000000000546,0.8900000000001,0.7799999999999727,support,1977.72,2017.075
2023-05-18 08:00:00+00:00,0.9549999999999272,3305,3.5150000000001,0.7700000000002092,3.9849999999999,3.0650000000000546,support,1977.42,2017.075
2023-05-18 12:00:00+00:00,0.22500000000013642,1507,0.8299999999999272,2.0699999999999363,0.6499999999998636,0.21000000000003638,support,1974.635,2012.065
2023-05-18 13:00:00+00:00,7.069999999999936,8066,7.255000000000109,0.22500000000013642,0.8299999999999272,2.0699999999999363,support,1974.165,2012.065
2023-05-18 14:30:00+00:00,2.4500000000000455,3879,2.2000000000000455,0.09000000000014552,7.069999999999936,7.255000000000109,support,1960.005,2012.065
2023-05-23 07:30:00+00:00,0.18499999999994543,2083,6.050000000000182,0.6549999999999727,1.8400000000001455,0.9300000000000637,support,1958.61,1983.03
2023-05-24 12:00:00+00:00,1.224999999999909,1891,2.990000000000009,2.1649999999999636,0.8450000000000273,0.24500000000011823,resistance,1956.36,1980.785
2023-05-25 06:00:00+00:00,0.5950000000000273,2105,1.4800000000000182,0.38999999999987267,0.19499999999993634,0.375,support,1956.36,1983.11
2023-05-25 13:00:00+00:00,6.910000000000082,3639,16.24500000000012,2.230000000000018,0.6800000000000637,0.6000000000001364,support,1956.055,1983.11
2023-05-25 17:30:00+00:00,0.9399999999998272,524,0.1799999999998363,0.14999999999986358,1.8050000000000637,0.03499999999985448,support,1943.685,1983.11
2023-05-25 19:00:00+00:00,1.259999999999991,504,1.9500000000000455,0.375,0.9399999999998272,0.1799999999998363,support,1943.555,1983.11
2023-05-26 00:30:00+00:00,1.199999999999818,785,0.8800000000001091,0.9949999999998909,0.7200000000000273,0.3109999999999218,support,1940.27,1983.11
2023-05-30 04:00:00+00:00,0.6900000000000546,1129,2.5950000000000273,3.324999999999818,0.30999999999994543,0.6400000000001,support,1939.735,1956.285
2023-05-30 05:30:00+00:00,1.6800000000000637,3309,3.8350000000000364,0.29500000000007276,0.6900000000000546,2.5950000000000273,support,1938.72,1956.285
2023-05-30 12:00:00+00:00,0.7300000000000182,2995,4.744999999999891,0.015000000000100044,2.115000000000009,0.49499999999989086,resistance,1933.51,1956.285
2023-05-30 15:30:00+00:00,1.0950000000000273,1071,2.439999999999827,0.599999999999909,4.990000000000009,3.3350000000000364,resistance,1933.51,1960.26
2023-05-31 06:00:00+00:00,3.7250000000001364,4178,5.254999999999882,0.8650000000000091,1.2549999999998818,0.8799999999998818,resistance,1933.51,1962.325
2023-05-31 14:00:00+00:00,3.5650000000000546,7126,6.320000000000164,0.7350000000001273,1.384999999999991,1.009999999999991,resistance,1933.51,1964.53
2023-05-31 15:00:00+00:00,2.625,2643,3.6900000000000546,3.5650000000000546,6.320000000000164,0.7350000000001273,resistance,1933.51,1969.815
2023-06-01 14:00:00+00:00,3.009999999999991,7900,4.869999999999891,0.12999999999988177,7.930000000000064,7.480000000000018,resistance,1952.825,1972.595
2023-06-01 15:00:00+00:00,2.6499999999998636,1792,4.519999999999982,3.009999999999991,4.869999999999891,0.12999999999988177,resistance,1952.825,1973.27
2023-06-02 03:30:00+00:00,0.5549999999998363,896,2.644999999999982,2.0499999999999545,1.0,2.5950000000000273,resistance,1954.415,1982.195
2023-06-02 17:00:00+00:00,0.9700000000000273,1311,3.8450000000000273,6.0750000000000455,1.599999999999909,1.2450000000001182,support,1955.38,1983.12
2023-06-02 18:00:00+00:00,0.8300000000001546,856,1.3899999999998727,0.9700000000000273,3.8450000000000273,6.0750000000000455,support,1952.3,1983.12
2023-06-05 00:30:00+00:00,0.7349999999999,655,2.0450000000000728,0.5699999999999363,0.21000000000003638,0.4500000000000455,support,1948.1,1983.12
2023-06-05 02:30:00+00:00,0.8399999999999181,1237,1.5850000000000364,1.125,0.06999999999993634,0.7349999999999,support,1946.53,1983.12
2023-06-05 05:30:00+00:00,0.6499999999998636,918,1.5349999999998545,0.10999999999989996,1.375,2.615000000000009,support,1944.53,1983.12
2023-06-05 06:30:00+00:00,0.01999999999998181,1867,2.0599999999999454,0.6499999999998636,1.5349999999998545,0.10999999999989996,support,1944.44,1983.12
2023-06-07 01:30:00+00:00,1.2699999999999818,1500,1.3099999999999454,0.6800000000000637,0.7100000000000364,0.3849999999999909,resistance,1939.975,1965.33
2023-06-07 14:00:00+00:00,10.0,4084,10.634999999999991,0.5449999999998454,0.1899999999998272,2.8350000000000364,resistance,1940.135,1966.31
2023-06-07 19:30:00+00:00,1.865000000000009,581,0.7599999999999909,0.01499999999987267,1.7250000000001364,1.4849999999999,support,1942.26,1969.655
2023-06-07 22:00:00+00:00,3.019999999999982,910,0.5850000000000364,0.5899999999999181,1.865000000000009,0.7599999999999909,support,1940.175,1969.655
2023-06-13 15:30:00+00:00,2.0399999999999636,2754,7.245000000000118,0.5650000000000546,0.8899999999998727,6.404999999999973,support,1950.425,1967.245
2023-06-13 18:00:00+00:00,0.4900000000000091,1217,2.6949999999999363,0.4700000000000273,1.5050000000001091,3.3350000000000364,support,1943.19,1967.245
2023-06-15 01:00:00+00:00,3.3450000000000273,3813,3.2350000000001273,2.6599999999998545,0.9300000000000637,0.28500000000008185,support,1940.625,1965.95
2023-06-15 07:00:00+00:00,0.8700000000001182,2981,2.365000000000009,2.7799999999999727,1.9349999999999454,1.115000000000009,support,1933.45,1965.95
2023-06-15 08:30:00+00:00,0.33999999999991815,1467,1.4600000000000364,0.09999999999990905,0.8700000000001182,2.365000000000009,support,1932.635,1965.95
2023-06-15 11:30:00+00:00,2.880000000000109,1646,2.3449999999998,0.04500000000007276,2.185000000000173,1.1799999999998363,support,1931.75,1965.95
2023-06-16 06:30:00+00:00,0.7100000000000364,1236,3.4400000000000546,1.6050000000000182,1.0049999999998818,0.584999999999809,resistance,1927.2,1959.55
2023-06-16 08:00:00+00:00,0.3000000000001819,1053,1.0799999999999272,0.43499999999994543,0.7100000000000364,3.4400000000000546,resistance,1927.2,1961.635
2023-06-16 09:00:00+00:00,0.8799999999998818,1042,1.884999999999991,0.3000000000001819,1.0799999999999272,0.43499999999994543,resistance,1927.2,1961.705
2023-06-16 11:00:00+00:00,0.29500000000007276,725,0.8050000000000637,0.16999999999984539,0.3500000000001364,0.8799999999998818,resistance,1927.2,1964.38
2023-06-20 02:00:00+00:00,2.925000000000182,2084,1.9099999999998545,2.134999999999991,0.2849999999998545,1.7100000000000364,support,1948.58,1965.98
2023-06-20 13:00:00+00:00,6.004999999999882,3690,8.289999999999964,1.5900000000001455,0.3999999999998636,0.25,support,1947.065,1965.98
2023-06-21 12:30:00+00:00,0.30500000000006366,4341,4.740000000000009,1.0850000000000364,0.7799999999999727,0.15499999999997272,support,1931.425,1958.285
2023-06-22 07:00:00+00:00,1.134999999999991,2437,1.9249999999999545,0.44499999999993634,1.0149999999998727,0.209999999999809,support,1928.695,1954.975
2023-06-22 09:00:00+00:00,0.5349999999998545,679,0.7349999999999,1.7899999999999636,0.7850000000000819,1.134999999999991,support,1928.17,1954.975
2023-06-22 12:00:00+00:00,1.2899999999999636,1749,0.19499999999993634,1.0550000000000637,0.9249999999999545,1.1000000000001364,support,1927.45,1954.975
2023-06-22 14:30:00+00:00,1.1199999999998909,3502,5.894999999999982,1.615000000000009,2.8599999999999,2.7999999999999545,support,1920.615,1953.035
2023-06-23 02:00:00+00:00,0.2800000000002001,1096,2.3999999999998636,1.0299999999999727,0.2699999999999818,0.6600000000000819,support,1913.51,1937.905
2023-06-27 18:00:00+00:00,1.0650000000000546,731,2.384999999999991,0.044999999999845386,1.0699999999999363,2.105000000000018,support,1913.56,1934.325
2023-06-28 07:00:00+00:00,0.7650000000001,1485,2.2200000000000273,2.560000000000173,0.084999999999809,0.5800000000001546,support,1912.195,1932.225
2023-06-28 08:30:00+00:00,0.5199999999999818,1424,1.509999999999991,0.7699999999999818,0.7650000000001,2.2200000000000273,support,1910.205,1932.225
2023-06-28 09:30:00+00:00,2.0150000000001,2202,0.7350000000001273,0.5199999999999818,1.509999999999991,0.7699999999999818,support,1909.485,1932.225
2023-06-28 11:30:00+00:00,0.4499999999998181,996,0.16999999999984539,0.2699999999999818,0.6700000000000728,2.0150000000001,support,1906.77,1932.225
2023-06-28 12:30:00+00:00,0.20000000000004547,987,0.47499999999990905,0.4499999999998181,0.16999999999984539,0.2699999999999818,support,1906.765,1932.225
2023-06-29 02:30:00+00:00,1.2649999999998727,1906,3.974999999999909,1.9550000000001546,1.7300000000000182,1.2650000000001,support,1906.75,1929.27
2023-06-29 05:30:00+00:00,0.6050000000000182,1124,1.3900000000001,0.30500000000006366,0.20499999999992724,0.9550000000001546,support,1904.62,1929.27
2023-06-29 06:30:00+00:00,1.2250000000001364,1244,1.025000000000091,0.6050000000000182,1.3900000000001,0.30500000000006366,support,1903.99,1929.27
2023-06-29 13:00:00+00:00,2.2899999999999636,4631,14.61999999999989,1.2550000000001091,0.07999999999992724,0.33999999999991815,support,1903.455,1928.66
